Road ID,Shapefile ID,Road Name,PCI,Road Quality,Running PCI,Surface Material,Material Thickness,Length,Width,Lifespan,Remaining Surface Life,Asset Value,Road Surface,Area,Road Owner,Road Category,Traffic Volume,Year Resurfaced,Road From,Road To
01KP4C8DX2JDRRM3QFJG1YQBNP,{D35E3746-78B9-4F46-835A-F9300F090A32},CLEAR SPRING DR,68,C,'-3.32,asphalt,2,1385.7360815189006,50,20,5 Years and 3 Months,73762.95157735927,paved,,City,Local,,,JAMES BURT PKWY,JAMES BURT PKWY
01KP4C7YZCQSTMGZYFG5KR21S5,{CCDF24D4-6F9B-4CAC-B5DC-AA861486FDFA},E SAMFORD AV,68,C,1.75,asphalt,2,476.8686692257886,45,6,1 Years and 7 Months,22845.415460695458,paved,,City,Arterial,,,PINEDALE DR,NELOCCO DR
01KP4C82TQN6T88W3R9CWH72B6,{96851013-CF9F-4F2D-A7C3-768ABDD628BB},SHELTON MILL RD,68,C,26,asphalt,2,517.8286213252674,80,20,5 Years and 3 Months,44102.55953306118,paved,,City,Arterial,,,CHEROKEE RD,BODDIE LN
01KP4C7VYJ0XMB8X4QJVGHDN84,{C8D107FE-F929-40A0-ACF2-D8569ED50F6C},FALCON CREST CT,68,C,4.5,asphalt,2,117.10241779677582,24,20,5 Years and 3 Months,2992.0225377637157,paved,,City,Local,,,,
01KP4C8ARSBT96FWXRN44WK5GK,{64D5C5FC-6A23-4E32-9CE8-1E97AE7F4495},BOTTLE WAY,68,C,3.25,asphalt,2,394.5897782083825,50,30,7 Years and 10 Months,21004.076527330322,paved,,City,Local,,,NORTHGATE BLVD,HATCHER DR
01KP4C8ACRT2FK7YHJWHPR87ZF,{CCBF6DB9-F131-47A2-A59C-044BECACEDFF},JAMES BURT PKWY,68,C,'-5.39,asphalt,2,831.3719983941622,60,26,6 Years and 9 Months,53104.87612599662,paved,,City,Residential Collector,,,CLEAR SPRING DR,CREEKSIDE LN
01KP4C82G29WY89XNJJYGZCX6K,{8372796F-06BA-4A98-8040-B50ECB778E98},MIDDLEBROOK LN,68,C,'-10.19,asphalt,2,1098.8357166415544,60,20,5 Years and 3 Months,70189.43953823717,paved,,City,Local,,,DEER RUN RD,WILLOW CREEK RD
01KP4C82SESM4F8SS5952NQ9Q8,{FDAC36D3-A000-4BDB-8C3E-34027541C0A0},S CARY DR,68,C,3.25,asphalt,2,841.660021309397,60,6,1 Years and 7 Months,53762.035837353586,paved,,City,Local,,,N COLLEGE ST,SANDERS ST
01KP4C8ATMWFT6TVNWA5PZTH6P,{35C5A30A-B1B1-4CDA-8ADF-A5F4544A9B79},E UNIVERSITY DR,68,C,24.5,asphalt,2,752.492109063126,24,16,4 Years and 2 Months,19226.531716138612,paved,,City,Arterial,,,,SHUG JORDAN PKWY
01KP4C7ZMQM60TRX4ZC7PEGXRJ,{05FCF502-24EF-46ED-8059-03FA6C5B0154},TACOMA DR,68,C,'-14.5,asphalt,2,136.44654856354916,60,20,5 Years and 3 Months,8715.685725864038,paved,,City,Residential Collector,,,LAW DR,
01KP4C82Q3ZFXZPGAFHJZH7YXE,{B4CC31A3-CC71-4B9C-8876-505A3CD42580},S GAY ST,68,C,'-2.37,asphalt,2,844.844247581299,24,30,7 Years and 10 Months,21586.172832486754,paved,,City,Arterial,,,N GAY ST,E THACH AV
01KP4C85HXC0XHMFEGEAZH8NK7,{213324D8-D5AB-4051-8DFB-5AA925A25495},DOWNS WAY,68,C,'-3.62,asphalt,2,312.921442843956,60,20,5 Years and 3 Months,19988.22968718489,paved,,City,Residential Collector,,,ETHAN LN,MEAGAN LN
01KP4C7VM4EYT61D62C97RBSKW,{7822EA64-C08F-4CE3-88B3-FE4852DA01BC},JORDAN ST,68,C,'-4.83,asphalt,2,848.481377142941,50,20,5 Years and 3 Months,45164.79838490242,paved,,City,Local,,,COMBS AV,DUNFORD AV
01KP4C7Z6K0WXQJRJ0TKS1CXB8,{1F5A374C-7072-4FAA-8CD8-A5C6F9E15AF7},ZELLARS AV,68,C,18.17,asphalt,2,660.9845782850599,50,20,5 Years and 3 Months,35184.31402030077,paved,,City,Local,,,VICKERSTAFF ST,BYRD ST
01KP4C85G4115PE4S1R551X0MT,{17349689-353A-4980-8D8D-421E4A59A493},MORGAN DR,68,C,'-3.79,asphalt,2,840.9959963797627,50,20,5 Years and 3 Months,44766.35037872277,paved,,City,Local,,,CORE DR,OGLETREE RD
